,group,variable,month,13. 5 FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,13. 5 FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,TOTALES,TOTALES,TOTALES
EL TORNO,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,0,1,0,1,1
GUAYARAMERIN,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,3,2,3,2,5
IRUPANA (VILLA DE LANZA),internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,1,0,1,0,1
LA PAZ,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,85,83,85,83,168
LLALLAGUA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,2,1,2,1,3
MONTEAGUDO,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,1,2,1,2,3
ORURO,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,27,14,27,14,41
PATACAMAYA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,0,1,0,1,1
POTOSI,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,14,6,14,6,20
PUERTO SUAREZ,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,0,1,0,1,1
PUERTO VILLARROEL,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,1,0,1,0,1
PUNATA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,2,0,2,0,2
RIBERALTA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,3,1,3,1,4
RURRENABAQUE,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,1,0,1,0,1
SAN BORJA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,0,1,0,1,1
SAN JUAN DE YAPACANI,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,1,0,1,0,1
SAN LUCAS,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,1,0,1,0,1
SANTA ANA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,65,65,65,65,130
SUCRE,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,25,10,25,10,35
TARIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,22,20,22,20,42
TRINIDAD,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,13,9,13,9,22
TUPIZA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,0,2,0,2,2
UNCIA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,4,1,4,1,5
UYUNI,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,1,0,1,0,1
VALLEGRANDE,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,1,0,1,0,1
VILLA MONTES,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,0,1,0,1,1
VILLAZON,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,3,2,3,2,5
VINTO,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,0,1,0,1,1
YACUIBA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,4,2,4,2,6
ASCENCION DE GUARAYOS,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,2,0,2,0,2
BAURES,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,0,2,0,2,2
BERMEJO,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,1,1,1,1,2
CAMARGO,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,0,2,0,2,2
CAMIRI,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,1,0,1,0,1
COBIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,4,0,4,0,4
COCHABAMBA,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,64,59,64,59,123
COROICO,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,0,1,0,1,1
EL ALTO,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,7,8,7,8,15
EL TORNO,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,0,2,0,2,2
GUAYARAMERIN,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,4,1,4,1,5
HUANUNI,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,2,0,2,0,2
LA PAZ,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,77,82,77,82,159
LLALLAGUA,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,2,2,2,2,4
MAGDALENA,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,1,0,1,0,1
MONTERO,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,5,3,5,3,8
ORURO,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,4,31,4,31,35
PORTACHUELO,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,0,1,0,1,1
POTOSI,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,7,8,7,8,15
PUNATA,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,1,2,1,2,3
RIBERALTA,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,4,5,4,5,9
RURRENABAQUE,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,0,1,0,1,1
SACABA,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,0,1,0,1,1
SAN BUENA VENTURA,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,1,0,1,0,1
SAN IGNACIO,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,2,0,2,0,2
SAN PEDRO,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,71,72,71,72,143
SUCRE,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,28,12,28,12,40
TARIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,18,17,18,17,35
TRINIDAD,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,2,7,2,7,9
TUPIZA,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,2,3,2,3,5
UYUNI,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,0,3,0,3,3
VALLEGRANDE,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,2,3,2,3,5
VIACHA,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,0,1,0,1,1
VILLA TUNARI,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,2,2,2,2,4
VILLAZON,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,0,1,0,1,1
VINTO,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,0,2,0,2,2
WARNES,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,0,2,0,2,2
YACUIBA,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,6,1,6,1,7
AIQUILE,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,0,1,0,1,1
BERMEJO,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,1,0,1,0,1
CAMIRI,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,1,0,1,0,1
CARANAVI,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,1,0,1,0,1
COBIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,1,1,1,1,2
COCHABAMBA,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,52,44,52,44,96
COROICO,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,1,1,1,1,2
EL ALTO,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,10,10,10,10,20
GUAYARAMERIN,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,3,3,3,3,6
HUACAYA (VILLA DE HUACAYA),internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,1,0,1,0,1
HUANUNI,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,1,0,1,0,1
LA PAZ,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,71,65,71,65,136
MAIRANA,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,0,1,0,1,1
MIZQUE,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,1,0,1,0,1
MONTEAGUDO,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,0,1,0,1,1
MONTERO,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,1,3,1,3,4
ORURO,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,5,26,5,26,31
POTOSI,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,10,10,10,10,20
PUERTO QUIJARRO,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,2,0,2,0,2
PUNATA,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,1,0,1,0,1
REYES,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,1,0,1,0,1
RIBERALTA,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,2,0,2,0,2
SAN BORJA,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,0,1,0,1,1
SAN BUENA VENTURA,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,0,2,0,2,2
SAN CARLOS,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,2,1,2,1,3
SAN JOSE DE CHIQUITOS,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,1,1,1,1,2
SAN LUCAS,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,1,1,1,1,2
SANTA ANA,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,80,66,80,66,146
SUCRE,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,20,19,20,19,39
TARIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,15,7,15,7,22
TRINIDAD,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,9,4,9,4,13
TUPIZA,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,3,3,3,3,6
UYUNI,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,0,1,0,1,1
VILLA MONTES,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,2,0,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,0,1,0,1,1
VILLAZON,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,1,1,1,1,2
VINTO,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,1,0,1,0,1
YACUIBA,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,3,1,3,1,4
YAPACANI,internaciones,5      fallecidos a partir de las 48 horas,2014-09-01,2,0,2,0,2
BERMEJO,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,4,2,4,2,6
BOYUIBE,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,0,1,0,1,1
CAMIRI,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,0,1,0,1,1
CARANAVI,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,2,1,2,1,3
COBIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,3,3,3,3,6
COCHABAMBA,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,73,47,73,47,120
COROICO,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,0,1,0,1,1
EL ALTO,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,5,2,5,2,7
EL TORNO,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,0,1,0,1,1
GUAYARAMERIN,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,2,1,2,1,3
HUANUNI,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,1,0,1,0,1
JESUS DE MACHACA,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,0,1,0,1,1
LA PAZ,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,55,74,55,74,129
LLALLAGUA,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,2,1,2,1,3
MONTEAGUDO,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,1,1,1,1,2
MONTERO,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,4,1,4,1,5
ORURO,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,10,9,10,9,19
POTOSI,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,16,16,16,16,32
PUNATA,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,4,1,4,1,5
REYES,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,0,1,0,1,1
RIBERALTA,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,5,5,5,5,10
ROBORE,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,0,1,0,1,1
SAN BORJA,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,0,1,0,1,1
SANTA ANA,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,83,70,83,70,153
SUCRE,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,19,16,19,16,35
TARIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,24,22,24,22,46
TRINIDAD,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,2,1,2,1,3
TUPIZA,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,1,3,1,3,4
UYUNI,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,1,1,1,1,2
VALLEGRANDE,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,0,1,0,1,1
VIACHA,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,1,0,1,0,1
VILLA MONTES,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,0,2,0,2,2
VILLA TUNARI,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,1,0,1,0,1
VILLAZON,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,0,2,0,2,2
VINTO,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,0,1,0,1,1
YACUIBA,internaciones,5      fallecidos a partir de las 48 horas,2014-10-01,3,2,3,2,5
ASCENCION DE GUARAYOS,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,2,0,2,0,2
BERMEJO,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,1,0,1,0,1
CAMIRI,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,1,1,1,1,2
COBIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,3,3,3,3,6
COCHABAMBA,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,66,53,66,53,119
CULPINA,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,0,1,0,1,1
EL ALTO,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,13,12,13,12,25
EL TORNO,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,0,2,0,2,2
GUAYARAMERIN,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,1,3,1,3,4
HUANUNI,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,1,0,1,0,1
LA PAZ,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,72,83,72,83,155
LLALLAGUA,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,0,1,0,1,1
MAGDALENA,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,1,0,1,0,1
MAPIRI,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,1,1,1,1,2
MONTEAGUDO,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,1,0,1,0,1
MONTERO,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,1,2,1,2,3
ORURO,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,10,12,10,12,22
POTOSI,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,6,4,6,4,10
PUERTO VILLARROEL,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,1,0,1,0,1
PUNATA,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,0,1,0,1,1
RIBERALTA,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,1,0,1,0,1
ROBORE,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,0,1,0,1,1
SAN BORJA,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,72,77,72,77,149
SUCRE,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,25,24,25,24,49
TARIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,23,16,23,16,39
TRINIDAD,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,3,5,3,5,8
UYUNI,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,1,0,1,0,1
VALLEGRANDE,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,1,0,1,0,1
VILLA MONTES,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,2,1,2,1,3
VILLAZON,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,1,1,1,1,2
VINTO,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,0,1,0,1,1
YACUIBA,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,0,1,0,1,1
YAPACANI,internaciones,5      fallecidos a partir de las 48 horas,2014-11-01,3,0,3,0,3
AZURDUY,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,0,1,0,1,1
BERMEJO,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,0,1,0,1,1
CAMIRI,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,0,2,0,2,2
CARANAVI,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,1,1,1,1,2
COBIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,6,1,6,1,7
COCHABAMBA,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,58,78,58,78,136
CONCEPCION,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,1,0,1,0,1
COROICO,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,2,0,2,0,2
EL ALTO,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,7,5,7,5,12
EL TORNO,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,1,0,1,0,1
GUAYARAMERIN,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,2,0,2,0,2
HUACARETA,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,1,0,1,0,1
HUARACAJE,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,0,1,0,1,1
LA PAZ,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,72,72,72,72,144
LLALLAGUA,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,0,1,0,1,1
MONTEAGUDO,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,1,0,1,0,1
MONTERO,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,3,2,3,2,5
ORURO,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,9,6,9,6,15
POTOSI,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,7,11,7,11,18
PUERTO RICO,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,1,0,1,0,1
RIBERALTA,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,6,8,6,8,14
SAN IGNACIO DE VELASCO,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,1,3,1,3,4
SAN MATIAS,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,36,38,36,38,74
SANTA ROSA,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,1,0,1,0,1
SUCRE,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,29,22,29,22,51
TARABUCO,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,0,1,0,1,1
TARIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,18,19,18,19,37
TRINIDAD,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,9,4,9,4,13
TUPIZA,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,1,2,1,2,3
VALLEGRANDE,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,1,2,1,2,3
VILLA MONTES,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,1,0,1,0,1
VILLAZON,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,2,0,2,0,2
YACUIBA,internaciones,5      fallecidos a partir de las 48 horas,2014-12-01,1,2,1,2,3
