municipality,group,variable,month,Niñas(os) menores de 6 meses con dosis completa de hierro,TOTAL
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,8,8
ATOCHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,1,1
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,12,12
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,5,5
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,32,32
ENTRE RIOS CBBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,1,1
HUACARAJE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,2,2
IRUPANA (VILLA DE LANZA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,1,1
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,62,62
LORETO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,1,1
ORURO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,4,4
PALCA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,1,1
POTOSI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,7,7
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,3,3
SAN BORJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,6,6
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,3,3
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,33,33
TRINIDAD,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,14,14
WARNES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-01-01,8,8
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,10,10
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,4,4
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,35,35
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,37,37
MAGDALENA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,2,2
ORURO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,3,3
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,4,4
PUERTO VILLARROEL,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,2,2
SAN BORJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,6,6
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,6,6
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,3,3
TIQUIPAYA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,1,1
TRINIDAD,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,7,7
VIACHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,5,5
WARNES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,3,3
YACUIBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-02-01,1,1
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,4,4
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,12,12
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,36,36
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,18,18
ORURO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,5,5
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,3,3
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,8,8
SAN JULIAN,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,2,2
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,2,2
TRINIDAD,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,22,22
TUPIZA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,6,6
VINTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,1,1
WARNES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-03-01,5,5
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,2,2
CAMIRI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,1,1
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,24,24
COLQUIRI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,1,1
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,3,3
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,19,19
EL TORNO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,1,1
ENTRE RIOS CBBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,1,1
FERNANDEZ ALONSO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,1,1
HUACARAJE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,5,5
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,20,20
MAGDALENA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,1,1
PAILON,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,1,1
PUERTO QUIJARRO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,1,1
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,4,4
SACABA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,1,1
SAN JULIAN,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,7,7
SAN RAMON BENI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,1,1
SANTIAGO DE HUARI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,1,1
TRINIDAD,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,3,3
TUPIZA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,4,4
UNCIA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,1,1
WARNES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-04-01,8,8
ATOCHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-05-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-05-01,1,1
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-05-01,15,15
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-05-01,19,19
EL PUENTE(STC),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-05-01,3,3
ENTRE RIOS CBBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-05-01,1,1
GUTIERREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-05-01,2,2
HUACARAJE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-05-01,4,4
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-05-01,28,28
ORURO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-05-01,7,7
PAILON,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-05-01,3,3
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-05-01,1,1
SACABA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-05-01,1,1
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-05-01,4,4
SAN JULIAN,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-05-01,2,2
SAN RAMON BENI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-05-01,2,2
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-05-01,17,17
TUPIZA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-05-01,2,2
WARNES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-05-01,17,17
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-06-01,6,6
ATOCHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-06-01,1,1
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-06-01,9,9
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-06-01,14,14
ENTRE RIOS CBBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-06-01,2,2
HUACARAJE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-06-01,4,4
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-06-01,18,18
MONTERO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-06-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-06-01,1,1
ORURO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-06-01,1,1
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-06-01,2,2
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-06-01,4,4
SAN JULIAN,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-06-01,2,2
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-06-01,1,1
TRINIDAD,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-06-01,7,7
TUPIZA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-06-01,1,1
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-07-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-07-01,1,1
BERMEJO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-07-01,3,3
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-07-01,1,1
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-07-01,12,12
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-07-01,24,24
FERNANDEZ ALONSO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-07-01,5,5
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-07-01,15,15
ORURO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-07-01,17,17
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-07-01,3,3
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-07-01,2,2
SAN JULIAN,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-07-01,6,6
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-07-01,3,3
TIQUIPAYA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-07-01,1,1
TRINIDAD,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-07-01,3,3
TUPIZA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-07-01,3,3
VIACHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-07-01,7,7
WARNES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-07-01,9,9
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,4,4
ATOCHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,1,1
BERMEJO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,5,5
CABEZAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,8,8
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,14,14
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,1,1
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,41,41
ENTRE RIOS CBBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,1,1
HUACARAJE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,1,1
IRUPANA (VILLA DE LANZA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,1,1
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,19,19
OMEREQUE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,1,1
ORURO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,11,11
PORONGO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,4,4
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,2,2
SALINAS DE GARCI MENDOZA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,1,1
SAN BORJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,1,1
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,3,3
SAN JULIAN,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,3,3
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,1,1
SANTIAGO DE HUARI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,4,4
TRINIDAD,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,4,4
VIACHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,2,2
VITICHI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,2,2
WARNES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-08-01,4,4
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-09-01,5,5
BERMEJO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-09-01,4,4
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-09-01,1,1
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-09-01,4,4
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-09-01,27,27
ENTRE RIOS CBBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-09-01,1,1
HUACARAJE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-09-01,2,2
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-09-01,15,15
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-09-01,3,3
ORURO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-09-01,25,25
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-09-01,2,2
QUILLACOLLO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-09-01,1,1
SABAYA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-09-01,1,1
SAN BORJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-09-01,1,1
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-09-01,4,4
SAN MATIAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-09-01,1,1
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-09-01,18,18
TIQUIPAYA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-09-01,1,1
TRINIDAD,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-09-01,5,5
TUPIZA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-09-01,6,6
UNCIA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-09-01,3,3
VIACHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-09-01,10,10
WARNES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-09-01,7,7
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-10-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-10-01,1,1
CARACOLLO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-10-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-10-01,1,1
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-10-01,4,4
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-10-01,1,1
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-10-01,26,26
GUAYARAMERIN,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-10-01,1,1
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-10-01,28,28
ORURO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-10-01,6,6
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-10-01,2,2
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-10-01,6,6
SAN JULIAN,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-10-01,2,2
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-10-01,6,6
SANTIAGO DE HUARI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-10-01,1,1
TIQUIPAYA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-10-01,1,1
TUPIZA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-10-01,3,3
WARNES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-10-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-11-01,1,1
BAURES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-11-01,1,1
CARACOLLO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-11-01,1,1
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-11-01,1,1
CLIZA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-11-01,2,2
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-11-01,2,2
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-11-01,3,3
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-11-01,40,40
HUACARAJE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-11-01,2,2
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-11-01,124,124
LLALLAGUA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-11-01,1,1
MAGDALENA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-11-01,1,1
ORURO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-11-01,2,2
PAILON,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-11-01,3,3
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-11-01,3,3
QUILLACOLLO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-11-01,1,1
SAN BORJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-11-01,1,1
SAN CARLOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-11-01,2,2
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-11-01,5,5
SAN JULIAN,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-11-01,6,6
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-11-01,16,16
TRINIDAD,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-11-01,35,35
TUPIZA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-11-01,20,20
BAURES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,2,2
BERMEJO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,3,3
CARACOLLO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,1,1
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,1,1
COMARAPA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,1,1
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,2,2
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,42,42
HUANUNI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,3,3
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,24,24
MAGDALENA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,3,3
ORURO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,19,19
POROMA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,2,2
POTOSI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,1,1
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,2,2
SAN BORJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,2,2
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,8,8
SAN JULIAN,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,4,4
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,30,30
TEOPONTE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,1,1
TIQUIPAYA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,7,7
TRINIDAD,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,9,9
TUPIZA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,4,4
VIACHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,10,10
WARNES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2023-12-01,10,10
